Date,Data
04/14/2023,185
04/13/2023,185.9
4/12/2023,180.54
4/11/2023,186.79
4/10/2023,184.51
4/06/2023,185.06
4/05/2023,185.52
4/04/2023,192.58
4/03/2023,194.77
03/31/2023,207.46
03/30/2023,195.28
03/29/2023,193.88
03/28/2023,189.19
03/27/2023,191.81
03/24/2023,190.41
03/23/2023,192.22
03/22/2023,191.15
03/21/2023,197.58
03/20/2023,183.25
03/17/2023,180.13
03/16/2023,184.13
03/15/2023,180.45
03/14/2023,183.26
03/13/2023,174.48
3/10/2023,173.44
3/09/2023,172.92
3/08/2023,182
3/07/2023,187.71
3/06/2023,193.81
3/03/2023,197.79
3/02/2023,190.9
3/01/2023,202.77
02/28/2023,205.71
02/27/2023,207.63
02/24/2023,196.88
02/23/2023,202.07
02/22/2023,200.86
02/21/2023,197.37
02/17/2023,208.31
02/16/2023,202.04
02/15/2023,214.24
02/14/2023,209.25
02/13/2023,194.64
2/10/2023,196.89
2/09/2023,207.32
2/08/2023,201.29
2/07/2023,196.81
2/06/2023,194.76
2/03/2023,189.98
2/02/2023,188.27
2/01/2023,181.41
01/31/2023,173.22
01/30/2023,166.66
01/27/2023,177.9
01/26/2023,160.27
01/25/2023,144.43
01/24/2023,143.89
01/23/2023,143.75
01/20/2023,133.42
01/19/2023,127.17
01/18/2023,128.78
01/17/2023,131.49
01/13/2023,122.4
1/12/2023,123.56
1/11/2023,123.22
1/10/2023,118.85
1/09/2023,119.77
1/06/2023,113.06
1/05/2023,110.34
1/04/2023,113.64
1/03/2023,108.1
12/30/2022,123.18
12/29/2022,121.82
12/28/2022,112.71
12/27/2022,109.1
12/23/2022,123.15
12/22/2022,125.35
12/21/2022,137.57
12/20/2022,137.8
12/19/2022,149.87
12/16/2022,150.23
12/15/2022,157.67
12/14/2022,156.8
12/13/2022,160.95
12/12/2022,167.82
12/09/2022,179.05
12/08/2022,173.44
12/07/2022,174.04
12/06/2022,179.82
12/05/2022,182.45
12/02/2022,194.86
12/01/2022,194.7
11/30/2022,194.7
11/29/2022,180.83
11/28/2022,182.92
11/25/2022,182.86
11/23/2022,183.2
11/22/2022,169.91
11/21/2022,167.87
11/18/2022,180.19
11/17/2022,183.17
11/16/2022,186.92
11/15/2022,194.42
11/14/2022,190.95
11/11/2022,195.97
11/10/2022,190.72
11/09/2022,177.59
11/08/2022,191.3
11/07/2022,197.08
11/04/2022,207.47
11/03/2022,215.31
11/02/2022,214.98
11/01/2022,227.82
10/31/2022,227.54
10/28/2022,228.52
10/27/2022,225.09
10/26/2022,224.64
10/25/2022,222.42
10/24/2022,211.25
10/21/2022,214.44
10/20/2022,207.28
10/19/2022,222.04
10/18/2022,220.19
10/17/2022,219.35
10/14/2022,204.99
10/13/2022,221.72
10/12/2022,217.24
10/11/2022,216.5
10/10/2022,222.96
10/07/2022,223.07
10/06/2022,238.13
10/05/2022,240.81
10/04/2022,249.44
10/03/2022,242.4
09/30/2022,265.25
09/29/2022,268.21
09/28/2022,287.81
09/27/2022,282.94
09/26/2022,276.01
09/23/2022,275.33
09/22/2022,288.59
09/21/2022,300.8
09/20/2022,308.73
09/19/2022,309.07
09/16/2022,303.35
09/15/2022,303.75
09/14/2022,302.61
09/13/2022,292.13
9/12/2022,304.42
9/09/2022,299.68
9/08/2022,289.26
9/07/2022,283.7
9/06/2022,274.42
9/02/2022,270.21
9/01/2022,277.16
08/31/2022,275.61
08/30/2022,277.7
08/29/2022,284.82
08/26/2022,288.09
08/25/2022,296.07
08/24/2022,297.1
08/23/2022,296.45
08/22/2022,289.91
08/19/2022,296.67
08/18/2022,302.87
08/17/2022,304
08/16/2022,306.56
08/15/2022,309.32
8/12/2022,300.03
8/11/2022,286.63
8/10/2022,294.36
8/09/2022,283.33
8/08/2022,290.42
8/05/2022,288.17
8/04/2022,308.63
8/03/2022,307.4
8/02/2022,300.59
8/01/2022,297.28
07/29/2022,297.15
07/28/2022,280.9
07/27/2022,274.82
07/26/2022,258.86
07/25/2022,268.43
07/22/2022,272.24
07/21/2022,271.71
07/20/2022,247.5
07/19/2022,245.53
07/18/2022,240.55
07/15/2022,240.07
07/14/2022,238.31
07/13/2022,237.04
7/12/2022,233.07
7/11/2022,234.34
7/08/2022,250.76
7/07/2022,244.54
7/06/2022,231.73
7/05/2022,233.07
7/01/2022,227.26
06/30/2022,224.47
06/29/2022,228.49
06/28/2022,232.66
06/27/2022,244.92
06/24/2022,245.71
06/23/2022,235.07
06/22/2022,236.09
06/21/2022,237.04
06/17/2022,216.76
06/16/2022,213.1
06/15/2022,233
06/14/2022,220.89
06/13/2022,215.74
6/10/2022,232.23
6/09/2022,239.71
6/08/2022,241.87
6/07/2022,238.89
6/06/2022,238.28
6/03/2022,234.52
6/02/2022,258.33
6/01/2022,246.79
05/31/2022,252.75
05/27/2022,253.21
05/26/2022,235.91
05/25/2022,219.6
05/24/2022,209.39
05/23/2022,224.97
05/20/2022,221.3
05/19/2022,236.47
05/18/2022,236.6
05/17/2022,253.87
05/16/2022,241.46
05/13/2022,256.53
5/12/2022,242.67
5/11/2022,244.67
5/10/2022,266.68
5/09/2022,262.37
5/06/2022,288.55
5/05/2022,291.09
5/04/2022,317.54
5/03/2022,303.08
5/02/2022,300.98
04/29/2022,290.25
04/28/2022,292.5
04/27/2022,293.84
04/26/2022,292.14
04/25/2022,332.67
04/22/2022,335.02
04/21/2022,336.26
04/20/2022,325.73
04/19/2022,342.72
04/18/2022,334.76
